actor,character,season,episode
DeForest Kelley,Dr. McCoy,2,3
James Doohan,Scott,2,3
Nichelle Nichols,Uhura,2,3
George Takei,Sulu,2,3
Majel Barrett,Nurse Christine Chapel,2,3
Makee K. Blaisdell,Singh (as Blaisdel Makee),2,3
Barbara Gates,Crewwoman,2,3
Meade Martin,Crewman,2,3
Arnold Lessing,Security Guard,2,3
Vic Perrin,Nomad's Voice (voice),2,3
Bill Blackburn,Lt. Hadley (uncredited),2,3
Frank da Vinci,Lt. Brent,2,3
Frank da Vinci,Security Guard (uncredited),2,3
Marc Daniels,Prof. Jackson Roykirk (uncredited),2,3
Roger Holloway,Lt. Lemli (uncredited),2,3
Jeannie Malone,Yeoman (uncredited),2,3
Eddie Paskey,Lt. Leslie (uncredited),2,3
Joe Paz,Security Guard (uncredited),2,3
William Shatner,Captain James T. Kirk,2,4
Leonard Nimoy,Mr. Spock,2,4
DeForest Kelley,Dr. McCoy,2,4
BarBara Luna,Marlena (as Barbara Luna),2,4
James Doohan,Scott,2,4
George Takei,Sulu,2,4
Nichelle Nichols,Uhura,2,4
Vic Perrin,Tharn,2,4
Walter Koenig,Chekov,2,4
John Winston,Lt. Kyle,2,4
Garth Pillsbury,Wilson,2,4
Pete Kellett,Kirk's Henchman,2,4
Bobby Bass,Chekov's Helper in Mirror Universe (uncredited),2,4
Bill Blackburn,Lt. Hadley (uncredited),2,4
Bobby Clark,Chekov's Guard #2 (uncredited),2,4
Roger Holloway,Lt. Lemli (uncredited),2,4
Johnny Mandell,Sulu's Guard (uncredited),2,4
Eddie Paskey,Lt. Leslie (uncredited),2,4
Russ Peek,Spock's Vulcan Guard (uncredited),2,4
Paul Prokop,Phaser Control Guard (uncredited),2,4
William Shatner,Captain James T. Kirk,2,5
Leonard Nimoy,Mr. Spock,2,5
DeForest Kelley,Dr. McCoy,2,5
Keith Andes,Akuta,2,5
Celeste Yarnall,Yeoman Martha Landon,2,5
James Doohan,Scott,2,5
David Soul,Makora,2,5
Walter Koenig,Chekov,2,5
Jay D. Jones,Ensign Mallory (as Jay Jones),2,5
Jerry Daniels,Marple,2,5
John Winston,Lt. Kyle,2,5
Mal Friedman,Hendorff,2,5
Shari Nims,Sayana,2,5
Paul Baxley,Native (uncredited),2,5
Bill Blackburn,Lt. Hadley (uncredited),2,5
Ron Burke,Native (uncredited),2,5
Bobby Clark,Native (uncredited),2,5
Vince Deadrick Sr.,Native (uncredited),2,5
Dick Dial,Kaplan (uncredited),2,5
Eddie Paskey,Lt. Leslie (uncredited),2,5
William Shatner,Captain James T. Kirk,2,6
Leonard Nimoy,Mr. Spock,2,6
DeForest Kelley,Dr. McCoy,2,6
William Windom,Commodore Decker,2,6
James Doohan,Scott,2,6
George Takei,Sulu,2,6
Elizabeth Rogers,Lt. Palmer,2,6
John Winston,Lt. Kyle,2,6
Richard Compton,Lt. Washburn,2,6
John Copage,Elliott,2,6
Tim Burns,Russ,2,6
Jerry Catron,Montgomery,2,6
Bill Blackburn,Lt. Hadley (uncredited),2,6
Roger Holloway,Roger Lemli (uncredited),2,6
Jeannie Malone,Yeoman (uncredited),2,6
Eddie Paskey,Lt. Leslie (uncredited),2,6
William Shatner,Captain James T. Kirk,2,7
Leonard Nimoy,Mr. Spock,2,7
DeForest Kelley,Dr. McCoy,2,7
Antoinette Bower,Sylvia,2,7
Theodore Marcuse,Korob (as Theo Marcuse),2,7
James Doohan,Scott,2,7
George Takei,Sulu,2,7
Nichelle Nichols,Uhura,2,7
Walter Koenig,Chekov,2,7
Michael Barrier,DeSalle (as Mike Barrier),2,7
John Winston,Transporter Chief,2,7
Rhodie Cogan,First Witch,2,7
Gail Bonney,Second Witch,2,7
Maryesther Denver,Third Witch,2,7
Jay D. Jones,Crewman Jackson (as Jimmy Jones),2,7
Bill Blackburn,Lt. Hadley (uncredited),2,7
Jeannie Malone,Yeoman (uncredited),2,7
Eddie Paskey,Lt. Leslie (uncredited),2,7
William Shatner,Captain James T. Kirk,2,8
Leonard Nimoy,Mr. Spock,2,8
DeForest Kelley,Dr. McCoy,2,8
Roger C. Carmel,Harry Mudd,2,8
Richard Tatro,Norman,2,8
Alyce Andrece,Alice #1 through 250,2,8
Rhae Andrece,Alice #251 through 500,2,8
James Doohan,Scott,2,8
Nichelle Nichols,Uhura,2,8
George Takei,Sulu,2,8
Walter Koenig,Chekov,2,8
Kay Elliot,Stella Mudd,2,8
Mike Howden,Lt. Rowe,2,8
Michael Zaslow,Jordan,2,8
Bobby Bass,Android (uncredited),2,8
Bill Blackburn,Android (uncredited),2,8
Roger Holloway,Lt. Lemli (uncredited),2,8
Ted LeGarde,Herman Series (uncredited),2,8
Tom LeGarde,Herman Series (uncredited),2,8
Jeannie Malone,Yeoman (uncredited),2,8
Bob Orrison,1st Engineer (uncredited),2,8
Eddie Paskey,Lt. Leslie (uncredited),2,8
Colleen Thornton,Barbara Series (uncredited),2,8
Maureen Thornton,Barbara Series (uncredited),2,8
Starr Wilson,Maisie Series (uncredited),2,8
Tamara Wilson,Maisie Series (uncredited),2,8
William Shatner,Captain James T. Kirk,2,9
Leonard Nimoy,Mr. Spock,2,9
DeForest Kelley,Dr. McCoy,2,9
Glenn Corbett,Zefram Cochrane,2,9
Elinor Donahue,Nancy Hedford,2,9
James Doohan,Scott,2,9
George Takei,Sulu,2,9
Nichelle Nichols,Uhura,2,9
Bill Blackburn,Lt. Hadley (uncredited),2,9
Eddie Paskey,Lt. Leslie (uncredited),2,9
Elizabeth Rogers,The Companion (voice) (uncredited),2,9
William Shatner,Captain James T. Kirk,2,10
Leonard Nimoy,Mr. Spock,2,10
DeForest Kelley,Dr. McCoy,2,10
Jane Wyatt,Amanda (as Miss Jane Wyatt),2,10
Mark Lenard,Sarek,2,10
Nichelle Nichols,Uhura,2,10
William O'Connell,Thelev,2,10
Majel Barrett,Nurse Christine Chapel,2,10
Walter Koenig,Chekov,2,10
John Wheeler,Gav,2,10
James X. Mitchell,Lt. Josephs,2,10
Reggie Nalder,Shras,2,10
Bill Blackburn,Lt. Hadley (uncredited),2,10
Jerry Catron,Montgomery (uncredited),2,10
Billy Curtis,Small Copper-Skinned Ambassador (uncredited),2,10
Frank da Vinci,Vulcan Aide (uncredited),2,10
Jeannie Malone,Purple-Skinned Delegate (uncredited),2,10
Eddie Paskey,Lt. Leslie (uncredited),2,10
Russ Peek,Sarek's 2nd Vulcan Aide (uncredited),2,10
William Shatner,Captain James T. Kirk,2,11
Leonard Nimoy,Mr. Spock,2,11
DeForest Kelley,Dr. McCoy,2,11
Julie Newmar,Eleen,2,11
Tige Andrews,Kras,2,11
Michael Dante,Maab,2,11
James Doohan,Scott,2,11
George Takei,Sulu,2,11
Nichelle Nichols,Uhura,2,11
Cal Bolder,Keel,2,11
Ben Gage,Akaar,2,11
Walter Koenig,Chekov,2,11
Kirk Raymond,Duur (as Kirk Raymone),2,11
Bob Bralver,Grant (as Robert Bralver),2,11
Bill Blackburn,Lt. Hadley (uncredited),2,11
Frank da Vinci,Capellan Warrior (uncredited),2,11
Walker Edmiston,SS Dierdre (voice) (uncredited),2,11
Eddie Paskey,Lt. Leslie (uncredited),2,11
William Shatner,Captain James T. Kirk,2,12
Leonard Nimoy,Mr. Spock,2,12
DeForest Kelley,Dr. McCoy,2,12
Charles Drake,Commodore Stocker,2,12
Sarah Marshall,Janet Wallace,2,12
James Doohan,Scott,2,12
George Takei,Sulu,2,12
Nichelle Nichols,Uhura,2,12
Majel Barrett,Nurse Christine Chapel,2,12
Walter Koenig,Chekov,2,12
Felix Locher,Robert Johnson,2,12
Carolyn Nelson,Yeoman Atkins,2,12
Laura Wood,Elaine Johnson,2,12
Beverly Washburn,Lt. Arlene Galway,2,12
Frank da Vinci,Lt. Brent (uncredited),2,12
Roger Holloway,Lt. Lemli (uncredited),2,12
Eddie Paskey,Lt. Leslie (uncredited),2,12
William Shatner,Captain James T. Kirk,2,13
Leonard Nimoy,Mr. Spock,2,13
DeForest Kelley,Dr. McCoy,2,13
Stephen Brooks,Ensign Garrovick,2,13
James Doohan,Scott,2,13
Nichelle Nichols,Uhura,2,13
Jerry Ayres,Rizzo,2,13
Majel Barrett,Nurse Christine Chapel,2,13
Walter Koenig,Chekov,2,13
Bill Blackburn,Lt. Hadley (uncredited),2,13
Frank da Vinci,Security Guard (uncredited),2,13
Jeannie Malone,Yeoman (uncredited),2,13
Eddie Paskey,Lt. Leslie (uncredited),2,13
Basil Poledouris,Security Officer (uncredited),2,13
William Shatner,Captain James T. Kirk,2,14
Leonard Nimoy,Mr. Spock,2,14
DeForest Kelley,Dr. McCoy,2,14
John Fiedler,Hengist,2,14
Charles Macaulay,Jaris (as Charles Macauley),2,14
Pilar Seurat,Sybo,2,14
James Doohan,Scott,2,14
George Takei,Sulu,2,14
Charles Dierkop,Morla,2,14
Joseph Bernard,Tark,2,14
Tanya Lemani,Kara (as Tania Lemani),2,14
John Winston,Transporter Chief,2,14
Virginia Aldridge,Karen Tracy,2,14
Judith McConnell,Yeoman Tankris (as Judy McConnell),2,14
Judi Sherven,Nurse,2,14
Majel Barrett,Enterprise Computer (voice) (uncredited),2,14
Bill Blackburn,Lt. Hadley (uncredited),2,14
Marlys Burdette,Serving Girl (uncredited),2,14
Suzanne Lodge,Argelian Waitress (uncredited),2,14
Eddie Paskey,Lt. Leslie (uncredited),2,14
William Shatner,Captain James T. Kirk,2,15
Leonard Nimoy,Mr. Spock,2,15
DeForest Kelley,Dr. McCoy,2,15
William Schallert,Nilz Baris,2,15
William Campbell,Koloth,2,15
Stanley Adams,Cyrano Jones,2,15
Whit Bissell,Lurry,2,15
James Doohan,Scott,2,15
Nichelle Nichols,Uhura,2,15
Michael Pataki,Korax,2,15
Edwin Reimers,Admiral Fitzpatrick (as Ed Reimers),2,15
Walter Koenig,Chekov,2,15
Charlie Brill,Arne Darvin,2,15
Paul Baxley,Ensign Freeman,2,15
David L. Ross,Lt. Galloway (as David Ross),2,15
Guy Raymond,Trader,2,15
Richard Antoni,Klingon Brawler (uncredited),2,15
Bobby Bass,Guard (uncredited),2,15
Bill Blackburn,Lt. Hadley (uncredited),2,15
Dick Crockett,Bald Klingon Brawler (uncredited),2,15
Frank da Vinci,Transporter Operator (uncredited),2,15
Steve Hershon,Security Officer (uncredited),2,15
Roger Holloway,Lt. Lemli (uncredited),2,15
William Knight,Crewman Moody (uncredited),2,15
Jeannie Malone,Yeoman (uncredited),2,15
Bob Orrison,Klingon Brawler (uncredited),2,15
Eddie Paskey,Lt. Leslie (uncredited),2,15
William Shatner,Captain James T. Kirk,2,16
Leonard Nimoy,Mr. Spock,2,16
DeForest Kelley,Dr. McCoy,2,16
Joseph Ruskin,Galt,2,16
Angelique Pettyjohn,Shahna,2,16
Nichelle Nichols,Uhura,2,16
James Doohan,Scott,2,16
Steve Sandor,Lars,2,16
Walter Koenig,Chekov,2,16
Jane Ross,Tamoon,2,16
Victoria George,Ensign Jana Haines,2,16
Dick Crockett,Andorian Thrall,2,16
Mickey Morton,Kloog,2,16
Bill Blackburn,Lt. Hadley (uncredited),2,16
Frank da Vinci,Lt. Brent (uncredited),2,16
Walker Edmiston,Provider #2 (voice) (uncredited),2,16
Roger Holloway,Lt. Lemli (uncredited),2,16
Bob Johnson,Provider #3 (voice) (uncredited),2,16
Bart La Rue,Provider #1 (voice) (uncredited),2,16
Jeannie Malone,Yeoman (uncredited),2,16
Eddie Paskey,Lt. Leslie (uncredited),2,16
William Shatner,Captain James T. Kirk,2,17
Leonard Nimoy,Mr. Spock,2,17
DeForest Kelley,Dr. McCoy,2,17
Anthony Caruso,Bela,2,17
Vic Tayback,Krako (as Victor Tayback),2,17
Lee Delano,Kalo,2,17
James Doohan,Scott,2,17
Nichelle Nichols,Uhura,2,17
Walter Koenig,Chekov,2,17
John Harmon,Tepo,2,17
Sheldon Collins,Tough Kid,2,17
Dyanne Thorne,First Girl,2,17
Sharyn Hillyer,Second Girl,2,17
Buddy Garion,Hood,2,17
Steven Marlo,Zabo (as Steve Marlo),2,17
Diego Barquinero,Radio Voice (uncredited),2,17
Bill Blackburn,Lt. Hadley (uncredited),2,17
Nick Borgani,Hood (uncredited),2,17
Marlys Burdette,Krako's Girl (uncredited),2,17
Frank da Vinci,Lt. Brent (uncredited),2,17
Roger Holloway,Lt. Lemli (uncredited),2,17
Jay D. Jones,Mirt (uncredited),2,17
Jeannie Malone,Yeoman (uncredited),2,17
Eddie Paskey,Lt. Leslie (uncredited),2,17
William Shatner,Captain James T. Kirk,2,18
Leonard Nimoy,Mr. Spock,2,18
DeForest Kelley,Dr. McCoy,2,18
James Doohan,Scott,2,18
Nichelle Nichols,Uhura,2,18
Walter Koenig,Chekov,2,18
John Winston,Lt. Kyle,2,18
Majel Barrett,Nurse Christine Chapel,2,18
Bill Blackburn,Lt. Hadley (uncredited),2,18
Frank da Vinci,Lt. Brent (uncredited),2,18
Bob Johnson,Starbase 6 Commander (voice) (uncredited),2,18
Jeannie Malone,Yeoman (uncredited),2,18
Eddie Paskey,Lt. Leslie (uncredited),2,18
William Shatner,Captain James T. Kirk,2,19
Leonard Nimoy,Mr. Spock,2,19
DeForest Kelley,Dr. McCoy,2,19
Nancy Kovack,Nona,2,19
Michael Witney,Tyree,2,19
James Doohan,Scott,2,19
Nichelle Nichols,Uhura,2,19
Ned Romero,Krell,2,19
Majel Barrett,Nurse Christine Chapel,2,19
Walter Koenig,Chekov,2,19
Booker Bradshaw,Dr. M'Benga,2,19
Arthur Bernard,Apella,2,19
Janos Prohaska,The Mugato,2,19
Paul Baxley,Patrol Leader,2,19
Gary Pillar,Yutan,2,19
Bill Blackburn,Lt. Hadley (uncredited),2,19
Roger Holloway,Lt. Lemli (uncredited),2,19
Jeannie Malone,Native Woman (uncredited),2,19
Eddie Paskey,Lt. Leslie (uncredited),2,19
Roy N. Sickner,Villager (uncredited),2,19
William Shatner,Captain James T. Kirk,2,20
Leonard Nimoy,Mr. Spock,2,20
DeForest Kelley,Dr. McCoy,2,20
Diana Muldaur,Ann Mulhall,2,20
James Doohan,Scott,2,20
Nichelle Nichols,Uhura,2,20
George Takei,Sulu,2,20
Cindy Lou,Nurse,2,20
Majel Barrett,Nurse Christine Chapel,2,20
Bill Blackburn,Lt. Hadley,2,20
Bill Blackburn,Android (uncredited),2,20
Frank da Vinci,Lt. Brent (uncredited),2,20
Roger Holloway,Lt. Lemli (uncredited),2,20
Jeannie Malone,Nurse (uncredited),2,20
Eddie Paskey,Guard (uncredited),2,20
William Shatner,Captain James T. Kirk,2,21
Leonard Nimoy,Mr. Spock,2,21
DeForest Kelley,Dr. McCoy,2,21
Richard Evans,Isak,2,21
Valora Noland,Daras,2,21
Skip Homeier,Melakon,2,21
David Brian,John Gill,2,21
James Doohan,Scott,2,21
Nichelle Nichols,Uhura,2,21
Patrick Horgan,Eneg,2,21
William Wintersole,Abrom,2,21
Gilbert Green,S.S. Major,2,21
Walter Koenig,Chekov,2,21
Lev Mailer,S.S. Lieutenant (as Ralph Maurer),2,21
Ed McCready,S.S. Trooper,2,21
Peter Canon,Gestapo Lieutenant,2,21
Paul Baxley,First Trooper,2,21
Chuck Courtney,Davod,2,21
Bart La Rue,Newscaster,2,21
Bill Blackburn,Lt. Hadley,2,21
Bill Blackburn,S.S. Trooper (uncredited),2,21
Frank da Vinci,Soldier at Party (uncredited),2,21
Roger Holloway,Soldier at Party (uncredited),2,21
Jeannie Malone,Blonde in Audience (uncredited),2,21
Sean Morgan,Second Trooper (uncredited),2,21
Eddie Paskey,Trooper (uncredited),2,21
Joe Paz,S A Brigadier (uncredited),2,21
Basil Poledouris,Trooper (uncredited),2,21
William Shatner,Captain James T. Kirk,2,22
Leonard Nimoy,Mr. Spock,2,22
DeForest Kelley,Dr. McCoy,2,22
Warren Stevens,Rojan,2,22
Barbara Bouchet,Kelinda,2,22
James Doohan,Scott,2,22
Nichelle Nichols,Uhura,2,22
Majel Barrett,Nurse Christine Chapel,2,22
Stewart Moss,Hanar,2,22
Walter Koenig,Chekov,2,22
Robert Fortier,Tomar,2,22
Lezlie Dalton,Drea,2,22
Carl Byrd,Lt. Shea,2,22
Julie Cobb,Yeoman Leslie Thompson,2,22
Bill Blackburn,Lt. Hadley (uncredited),2,22
Frank da Vinci,Lt. Brent (uncredited),2,22
Roger Holloway,Lt. Lemli (uncredited),2,22
Eddie Paskey,Lt. Leslie (uncredited),2,22
William Shatner,Captain James T. Kirk,2,23
Leonard Nimoy,Mr. Spock,2,23
DeForest Kelley,Dr. McCoy,2,23
Morgan Woodward,Captain Tracey,2,23
Roy Jenson,Cloud William,2,23
George Takei,Sulu,2,23
Nichelle Nichols,Uhura,2,23
Irene Kelly,Sirah,2,23
Morgan Farley,Yang Scholar,2,23
David L. Ross,Lt. Galloway,2,23
Lloyd Kino,Wu,2,23
Ed McCready,Dr. Carter,2,23
Frank Atienza,Kohm Villager,2,23
Bill Blackburn,Lt. Hadley (uncredited),2,23
Frank da Vinci,Security Guard (uncredited),2,23
Eddie Paskey,Lt. Leslie (uncredited),2,23
William Shatner,Captain James T. Kirk,2,24
Leonard Nimoy,Mr. Spock,2,24
DeForest Kelley,Dr. McCoy,2,24
William Marshall,Dr. Richard Daystrom,2,24
James Doohan,Scott,2,24
James Doohan,M-5,2,24
James Doohan,Starbase Officer,2,24
George Takei,Sulu,2,24
Nichelle Nichols,Uhura,2,24
Walter Koenig,Chekov,2,24
Sean Morgan,Harper,2,24
Barry Russo,Commodore Robert Wesley,2,24
Bill Blackburn,Lt. Hadley (uncredited),2,24
Frank da Vinci,Lt. Brent (uncredited),2,24
Roger Holloway,Lt. Lemli (uncredited),2,24
Eddie Paskey,Lt. Leslie (uncredited),2,24
William Shatner,Captain James T. Kirk,2,25
Leonard Nimoy,Mr. Spock,2,25
DeForest Kelley,Dr. McCoy,2,25
William Smithers,R.M. Merrick,2,25
William Smithers,Merikus,2,25
Logan Ramsey,Claudius,2,25
Ian Wolfe,Septimus,2,25
William Bramley,Policeman,2,25
Rhodes Reason,Flavius,2,25
James Doohan,Scott,2,25
Nichelle Nichols,Uhura,2,25
Walter Koenig,Chekov,2,25
Bart La Rue,Announcer (as Bart Larue),2,25
Jack Perkins,Master of Games,2,25
Max Kleven,Maximus,2,25
Lois Jewell,Drusilla,2,25
Paul Baxley,Policeman #1 (uncredited),2,25
Bill Blackburn,Lt. Hadley (uncredited),2,25
Frank da Vinci,Lt. Brent (uncredited),2,25
Roger Holloway,Lt. Lemli (uncredited),2,25
Shep Houghton,Cameraman (uncredited),2,25
Jeannie Malone,Yeoman,2,25
Jeannie Malone,Slave Girl (uncredited),2,25
Bob Orrison,Policeman #2 (uncredited),2,25
Eddie Paskey,Lt. Leslie (uncredited),2,25
Gil Perkins,Slave #3 (uncredited),2,25
Paul Stader,Slave #1 (uncredited),2,25
Tom Steele,Slave #2 (uncredited),2,25
William Shatner,Captain James T. Kirk,2,26
Leonard Nimoy,Mr. Spock,2,26
DeForest Kelley,Dr. McCoy,2,26
Robert Lansing,Gary Seven,2,26
Teri Garr,Roberta Lincoln (as Terri Garr),2,26
James Doohan,Scott,2,26
George Takei,Sulu,2,26
Nichelle Nichols,Uhura,2,26
Walter Koenig,Chekov,2,26
Don Keefer,Mission Control Director Cromwell,2,26
Morgan Jones,Colonel Jack Nesvig,2,26
Bruce Mars,First Policeman,2,26
Ted Gehring,Second Policeman,2,26
Paul Baxley,Security Chief,2,26
Barbara Babcock,Beta 5 Computer (voice) (uncredited),2,26
Bill Blackburn,Lt. Hadley,2,26
Bill Blackburn,Rocket Base Technician (uncredited),2,26
Frank da Vinci,Lt. Clifford Brent (uncredited),2,26
Bob Johnson,Ground Control (voice) (uncredited),2,26
Eddie Paskey,Lt. Leslie (uncredited),2,26
Edwin Rochelle,Man With Newspaper (uncredited),2,26
Victoria Vetri,Isis - Human Form (uncredited),2,26
William Shatner,Captain James T. Kirk,3,1
Leonard Nimoy,Mr. Spock,3,1
DeForest Kelley,Dr. McCoy,3,1
Marj Dusay,Kara,3,1
James Doohan,Scott,3,1
Walter Koenig,Chekov,3,1
George Takei,Sulu,3,1
Nichelle Nichols,Uhura,3,1
Majel Barrett,Nurse Christine Chapel,3,1
James Daris,Creature,3,1
Sheila Leighton,Luma,3,1
Bill Blackburn,Lt. Hadley (uncredited),3,1
Frank da Vinci,Lt. Brent (uncredited),3,1
Roger Holloway,Lt. Lemli (uncredited),3,1
Pete Kellett,Morg Guard (uncredited),3,1
Jeannie Malone,Yeoman (uncredited),3,1
Eddie Paskey,Lt. Leslie (uncredited),3,1
William Shatner,Captain James T. Kirk,3,2
Leonard Nimoy,Mr. Spock,3,2
DeForest Kelley,Dr. McCoy,3,2
Joanne Linville,Romulan Commander,3,2
Jack Donner,Tal,3,2
James Doohan,Scott,3,2
Nichelle Nichols,Uhura,3,2
George Takei,Sulu,3,2
Walter Koenig,Chekov,3,2
Majel Barrett,Nurse Christine Chapel,3,2
Richard Compton,Technical Officer,3,2
Robert Gentile,Technician,3,2
Mike Howden,Romulan Guard,3,2
Gordon Coffey,Romulan Soldier,3,2
Roger Holloway,Lt. Lemli (uncredited),3,2
Eddie Paskey,Lt. Leslie (uncredited),3,2
William Shatner,Captain James T. Kirk,3,3
Leonard Nimoy,Mr. Spock,3,3
DeForest Kelley,Dr. McCoy,3,3
Sabrina Scharf,Miramanee,3,3
Rudy Solari,Salish,3,3
James Doohan,Scott,3,3
George Takei,Sulu,3,3
Walter Koenig,Chekov,3,3
Richard Hale,Goro,3,3
Majel Barrett,Nurse Christine Chapel,3,3
Naomi Pollack,Indian Woman,3,3
John Lindesmith,Engineer,3,3
Peter Virgo Jr.,Warrior,3,3
Lamont Laird,Indian Boy,3,3
Bill Blackburn,Lt. Hadley (uncredited),3,3
Roger Holloway,Lt. Lemli (uncredited),3,3
Jeannie Malone,Yeoman (uncredited),3,3
Nichelle Nichols,Uhura (archive footage) (uncredited),3,3
Vince St. Cyr,Father of Drowning Boy (uncredited),3,3
William Shatner,Captain James T. Kirk,3,4
Leonard Nimoy,Mr. Spock,3,4
DeForest Kelley,Dr. McCoy,3,4
Craig Huxley,Tommy Starnes (as Craig Hundley),3,4
James Wellman,Professor Starnes,3,4
Melvin Belli,Gorgan,3,4
James Doohan,Scott,3,4
Majel Barrett,Nurse Christine Chapel,3,4
Nichelle Nichols,Uhura,3,4
George Takei,Sulu,3,4
Walter Koenig,Chekov,3,4
Pamelyn Ferdin,Mary,3,4
Melvin Caesar Belli,Steve (as Caesar Belli),3,4
Mark Robert Brown,Don,3,4
Brian Tochi,Ray,3,4
Louie Elias,1st Technician (as Lou Elias),3,4
Paul Baxley,Security Guard (uncredited),3,4
Bill Blackburn,Lt. Hadley (uncredited),3,4
Frank da Vinci,Transporter Operator (uncredited),3,4
Dick Dial,Security Guard (uncredited),3,4
Roger Holloway,Lt. Lemli (uncredited),3,4
Jay D. Jones,2nd Technician (uncredited),3,4
Jeannie Malone,Yeoman (uncredited),3,4
Eddie Paskey,Lt. Leslie (uncredited),3,4
William Shatner,Captain James T. Kirk,3,5
Leonard Nimoy,Mr. Spock,3,5
DeForest Kelley,Dr. McCoy,3,5
Diana Muldaur,Dr. Miranda Jones,3,5
David Frankham,Larry Marvick,3,5
James Doohan,Scott,3,5
George Takei,Sulu,3,5
Nichelle Nichols,Uhura,3,5
Walter Koenig,Chekov,3,5
Bill Blackburn,Lt. Hadley (uncredited),3,5
Bob Bralver,Yeoman (uncredited),3,5
Frank da Vinci,Lt. Brent (uncredited),3,5
Vince Deadrick Sr.,Engineer (uncredited),3,5
Louie Elias,Engineer (uncredited),3,5
Dick Geary,Security Guard (uncredited),3,5
Roger Holloway,Lt. Lemli (uncredited),3,5
Jeannie Malone,Yeoman (uncredited),3,5
Eddie Paskey,Lt. Leslie (uncredited),3,5
William Shatner,Captain James T. Kirk,3,6
Leonard Nimoy,Mr. Spock,3,6
DeForest Kelley,Dr. McCoy,3,6
Ron Soble,Wyatt Earp,3,6
Bonnie Beecher,Sylvia,3,6
James Doohan,Scott,3,6
Walter Koenig,Chekov,3,6
Nichelle Nichols,Uhura,3,6
Charles Maxwell,Virgil Earp,3,6
Rex Holman,Morgan Earp,3,6
Sam Gilman,Doc Holliday,3,6
Charles Seel,Ed,3,6
Bill Zuckert,Johnny Behan,3,6
Ed McCready,Barber,3,6
Abraham Sofaer,Melkotian (voice),3,6
Richard Anthony,Rider (uncredited),3,6
Paul Baxley,1st Cowboy (uncredited),3,6
Bill Blackburn,Lt. Hadley (uncredited),3,6
Roger Holloway,Lt. Lemli (uncredited),3,6
Jeannie Malone,Yeoman (uncredited),3,6
Bob Orrison,2nd Cowboy (uncredited),3,6
Gregg Palmer,Rancher (uncredited),3,6
Eddie Paskey,Lt. Leslie (uncredited),3,6
William Shatner,Captain James T. Kirk,3,7
Leonard Nimoy,Mr. Spock,3,7
DeForest Kelley,Dr. McCoy,3,7
Michael Ansara,Kang,3,7
Susan Howard,Mara,3,7
James Doohan,Scott,3,7
Walter Koenig,Chekov,3,7
George Takei,Sulu,3,7
Nichelle Nichols,Uhura,3,7
David L. Ross,Lt. Johnson (as David Ross),3,7
Mark Tobin,Klingon,3,7
Phil Adams,Klingon Soldier (uncredited),3,7
Albert Cavens,Klingon Crewman (uncredited),3,7
Dick Geary,Security Guard (uncredited),3,7
Eddie Hice,Security Guard (uncredited),3,7
Roger Holloway,Lt. Lemli (uncredited),3,7
Jay D. Jones,Klingon (uncredited),3,7
Pete Kellett,Klingon (uncredited),3,7
Hubie Kerns,Klingon Crewman (uncredited),3,7
Victor Paul,Klingon Crewman (uncredited),3,7
Charlie Picerni,Klingon (uncredited),3,7
George Sawaya,Klingon Crewman (uncredited),3,7
David Sharpe,Security Officer (uncredited),3,7
William Shatner,Captain James T. Kirk,3,8
Leonard Nimoy,Mr. Spock,3,8
DeForest Kelley,Dr. McCoy,3,8
Katherine Woodville,Natira (as Kate Woodville),3,8
James Doohan,Scott,3,8
James Doohan,Oracle,3,8
George Takei,Sulu,3,8
Walter Koenig,Chekov,3,8
Nichelle Nichols,Uhura,3,8
Majel Barrett,Nurse Christine Chapel,3,8
Byron Morrow,Admiral Westervliet,3,8
Jon Lormer,Old Man,3,8
Frank da Vinci,Transporter Operator (uncredited),3,8
Jeannie Malone,Fabrini Servant (uncredited),3,8
William Shatner,Captain James T. Kirk,3,9
Leonard Nimoy,Mr. Spock,3,9
DeForest Kelley,Dr. McCoy,3,9
James Doohan,Scott,3,9
George Takei,Sulu,3,9
Walter Koenig,Chekov,3,9
Nichelle Nichols,Uhura,3,9
Majel Barrett,Nurse Christine Chapel,3,9
Sean Morgan,Lt. O'Neil,3,9
Barbara Babcock,Cmdr. Loskene (voice) (uncredited),3,9
Paul Baxley,Defiant Captain (uncredited),3,9
Bill Blackburn,Lt. Hadley (uncredited),3,9
Bob Bralver,Berserk Engineer (uncredited),3,9
Frank da Vinci,Lt. Brent (uncredited),3,9
Louie Elias,Crazed Crewman (uncredited),3,9
Roger Holloway,Lt. Lemli (uncredited),3,9
Jay D. Jones,Engineer (uncredited),3,9
Jeannie Malone,Yeoman (uncredited),3,9
William Shatner,Captain James T. Kirk,3,10
Leonard Nimoy,Mr. Spock,3,10
DeForest Kelley,Dr. McCoy,3,10
Michael Dunn,Alexander,3,10
Liam Sullivan,Parmen,3,10
Barbara Babcock,Philana,3,10
James Doohan,Scott,3,10
Nichelle Nichols,Uhura,3,10
Majel Barrett,Nurse Christine Chapel,3,10
Ted Scott,Eraclitus,3,10
Derek Partridge,Dionyd,3,10
Bill Blackburn,Lt. Hadley (uncredited),3,10
Jeannie Malone,Yeoman (uncredited),3,10
William Shatner,Captain James T. Kirk,3,11
Leonard Nimoy,Mr. Spock,3,11
