actor,character,season,episode
Morgan Woodward,Dr. Simon van Gelder,1,9
Marianna Hill,Dr. Helen Noel,1,9
Nichelle Nichols,Uhura,1,9
Susanne Wasson,Lethe,1,9
John Arndt,Ingenieur Fields,1,9
Larry Anthony,Berkeley,1,9
Ed McCready,Inmate,1,9
Eliezer Behar,Eli (as Eli Behar),1,9
Frank da Vinci,Lt. Brent (uncredited),1,9
Walt Davis,Tantalus (uncredited),1,9
Louie Elias,Inmate Guard (uncredited),1,9
Eddie Paskey,Lt. Leslie (uncredited),1,9
Anthony Larry Paul,Crewman (uncredited),1,9
William Shatner,Captain James T. Kirk,1,10
Leonard Nimoy,Mr. Spock,1,10
Anthony D. Call,Dave Bailey (as Anthony Call),1,10
Clint Howard,Balok,1,10
DeForest Kelley,Dr. McCoy,1,10
Grace Lee Whitney,Yeoman Janice Rand,1,10
George Takei,Sulu,1,10
James Doohan,Scott,1,10
Nichelle Nichols,Uhura,1,10
Majel Barrett,Nurse Christine Chapel (voice) (uncredited),1,10
Bill Blackburn,Lt. Hadley (uncredited),1,10
Gloria Calomee,Crew Woman (uncredited),1,10
Ted Cassidy,Balok's Puppet (voice) (uncredited),1,10
Frank da Vinci,Crewman (uncredited),1,10
Walker Edmiston,Balok (voice) (uncredited),1,10
John Gabriel,Crewman (uncredited),1,10
Jonathan Goldsmith,Unnamed Red Shirt (uncredited),1,10
Ena Hartman,Crew Woman #2 (uncredited),1,10
Mittie Lawrence,Crew Woman (uncredited),1,10
Jeannie Malone,Yeoman (uncredited),1,10
Bruce Mars,Crewman #1 (uncredited),1,10
Sean Morgan,Crewman (uncredited),1,10
Eddie Paskey,Lt. Leslie (uncredited),1,10
Ron Veto,Crewman (uncredited),1,10
William Shatner,Captain James T. Kirk,1,11
Leonard Nimoy,Mr. Spock (also archive footage),1,11
Jeffrey Hunter,Captain Christopher Pike (archive footage),1,11
Susan Oliver,Vina (archive footage),1,11
Malachi Throne,Commodore José Mendez,1,11
